image_number,day1,day2,day3,day4
1,227.69,221.08,226.39,220.29
2,226.84,232.03,231.53,210.00
3,233.78,225.21,229.93,223.70
4,224.28,227.62,223.04,213.72
5,233.72,230.78,231.07,227.72
6,227.31,226.45,227.61,222.00
7,226.47,223.00,227.42,222.49
8,216.19,221.49,228.43,209.24
9,227.11,219.23,225.97,212.91
10,231.93,232.23,230.22,212.61
11,226.01,222.47,220.64,209.82
12,232.04,224.47,220.37,212.95
13,216.68,219.14,222.22,218.20
14,223.63,222.38,217.12,211.35
15,218.95,220.35,216.05,216.12
16,229.00,229.43,232.58,221.41
