image_number,day0,day1,day2,day3,day4,day5
1,183.11,135.10,124.67,134.56,120.56,122.58
2,171.18,125.79,136.99,122.84,120.87,137.58
3,174.96,131.93,125.72,136.39,132.85,135.03
4,184.41,127.91,119.25,119.98,113.35,117.59
5,184.30,133.69,127.34,143.29,130.39,136.78
6,175.37,136.08,133.46,141.53,127.38,135.56
7,149.15,134.48,133.35,141.53,133.53,136.80
8,147.34,121.56,118.52,133.68,120.18,136.21
9,148.55,133.97,131.48,141.09,124.07,126.16
10,161.64,133.90,128.32,130.74,120.93,139.77
11,170.59,125.46,119.92,121.75,108.30,113.62
12,162.57,121.27,119.64,120.98,114.27,123.84
13,155.09,125.18,128.29,137.15,137.89,139.55
14,162.94,125.73,123.68,122.53,116.39,114.35
15,155.73,113.49,111.68,120.99,113.07,114.35
16,179.50,132.68,122.13,138.57,120.10,136.04
